Colegio,Barrio,Distrito,Latitud,Longitud,Plazas_2012-2013,Plazas_2013-2014,Plazas_2014-2015,Plazas_2015-2016,Plazas_2016-2017,Admisiones_2012-2013,Solicitudes_2012-2013,Admisiones_2013-2014,Solicitudes_2013-2014,Admisiones_2014-2015,Solicitudes_2014-2015,Admisiones_2015-2016,Solicitudes_2015-2016,Admisiones_2016-2017,Solicitudes_2016-2017,Pob_x_Barrio_2012-2013,Pob_x_Barrio_2013-2014,Pob_x_Barrio_2014-2015,Pob_x_Barrio_2015-2016,Pob_x_Barrio_2016-2017,Pob_x_Barrio_2017-2018
Blas de Otero,SANTA EUGENIA,VILLA DE VALLECAS,40.3812477378,-3.61196925642,341.0,325.0,336.0,353.0,364.0,2.0,7.0,3.0,8.0,5.0,5.0,4.0,5.0,4.0,7.0,1193.0,1150.0,1132.0,1113.0,1092.0,1060.0
Ciudad de Valencia,SANTA EUGENIA,VILLA DE VALLECAS,40.3852605362,-3.60440650397,630.0,644.0,657.0,624.0,632.0,8.0,21.0,3.0,10.0,12.0,17.0,7.0,9.0,6.0,12.0,1193.0,1150.0,1132.0,1113.0,1092.0,1060.0
Ángel Nieto,SANTA EUGENIA,VILLA DE VALLECAS,40.3815111,-3.6146222,,,,,,,,,,,,,,,,1193.0,1150.0,1132.0,1113.0,1092.0,1060.0
Bolivia,LUCERO,LATINA,40.4076340722,-3.74987314286,137.0,128.0,117.0,133.0,133.0,2.0,3.0,3.0,3.0,8.0,8.0,0.0,0.0,7.0,9.0,1842.0,1849.0,1826.0,1841.0,1764.0,1730.0
Breogán,LA PAZ,FUENCARRAL-EL PARDO,40.4754095229,-3.70242329481,291.0,284.0,296.0,280.0,281.0,13.0,18.0,9.0,13.0,16.0,27.0,6.0,8.0,3.0,10.0,1258.0,1226.0,1231.0,1245.0,1246.0,1324.0
Camilo José Cela,LA PAZ,FUENCARRAL-EL PARDO,40.4775644016,-3.70065251973,258.0,258.0,279.0,278.0,291.0,14.0,15.0,6.0,10.0,5.0,6.0,6.0,10.0,6.0,10.0,1258.0,1226.0,1231.0,1245.0,1246.0,1324.0
Complejo Escolar Príncipe Felipe,LA PAZ,FUENCARRAL-EL PARDO,40.4802198707,-3.7010104733,188.0,201.0,206.0,204.0,198.0,8.0,12.0,3.0,14.0,18.0,50.0,8.0,48.0,24.0,42.0,1258.0,1226.0,1231.0,1245.0,1246.0,1324.0
Lorenzo Luzuriaga,LA PAZ,FUENCARRAL-EL PARDO,40.4866486266,-3.70160832091,262.0,262.0,268.0,262.0,275.0,4.0,4.0,12.0,13.0,2.0,3.0,12.0,13.0,1.0,7.0,1258.0,1226.0,1231.0,1245.0,1246.0,1324.0
Rabindranath Tagore,LA PAZ,FUENCARRAL-EL PARDO,40.483097533,-3.69590803716,239.0,225.0,235.0,244.0,261.0,6.0,11.0,6.0,10.0,7.0,8.0,1.0,2.0,6.0,17.0,1258.0,1226.0,1231.0,1245.0,1246.0,1324.0
Calderón de la Barca,TIMON,BARAJAS,40.470708109,-3.58402092685,264.0,263.0,267.0,284.0,293.0,1.0,1.0,10.0,10.0,11.0,14.0,7.0,12.0,5.0,8.0,673.0,681.0,701.0,739.0,773.0,841.0
Margaret Thatcher,TIMON,BARAJAS,40.4704771976,-3.590459755,,0.0,0.0,0.0,24.0,,,,,,,,,5.0,5.0,673.0,681.0,701.0,739.0,773.0,841.0
Capitán Cortés,PUERTA BONITA,CARABANCHEL,40.3809134774,-3.74285000113,294.0,298.0,306.0,307.0,289.0,10.0,11.0,2.0,13.0,6.0,14.0,3.0,16.0,3.0,26.0,1864.0,1928.0,1995.0,1976.0,2000.0,1942.0
Isaac Peral,PUERTA BONITA,CARABANCHEL,40.386295805,-3.7309272123,288.0,288.0,292.0,317.0,305.0,4.0,9.0,15.0,21.0,7.0,20.0,4.0,15.0,2.0,13.0,1864.0,1928.0,1995.0,1976.0,2000.0,1942.0
República de Colombia,PUERTA BONITA,CARABANCHEL,40.3759860732,-3.7371297831,142.0,147.0,132.0,133.0,138.0,2.0,2.0,0.0,4.0,2.0,6.0,5.0,12.0,3.0,11.0,1864.0,1928.0,1995.0,1976.0,2000.0,1942.0
Cardenal Herrera Oria,EL PILAR,FUENCARRAL-EL PARDO,40.4826088139,-3.7110758224,444.0,427.0,432.0,432.0,425.0,31.0,36.0,21.0,26.0,15.0,26.0,1.0,11.0,3.0,11.0,1666.0,1662.0,1716.0,1735.0,1805.0,1819.0
Jorge Guillén,EL PILAR,FUENCARRAL-EL PARDO,40.4753142252,-3.7077074438,196.0,166.0,171.0,169.0,152.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,8.0,4.0,7.0,1666.0,1662.0,1716.0,1735.0,1805.0,1819.0
Luis de Góngora,EL PILAR,FUENCARRAL-EL PARDO,40.4745973035,-3.71441244598,160.0,156.0,145.0,135.0,145.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1666.0,1662.0,1716.0,1735.0,1805.0,1819.0
Carlos V,SAN PASCUAL,CIUDAD LINEAL,40.4372409871,-3.65440389423,227.0,214.0,236.0,241.0,254.0,10.0,10.0,5.0,5.0,6.0,6.0,1.0,1.0,9.0,9.0,857.0,850.0,866.0,841.0,886.0,866.0
Méjico (México),SAN PASCUAL,CIUDAD LINEAL,40.4434865151,-3.65080904918,93.0,88.0,99.0,109.0,110.0,9.0,9.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,857.0,850.0,866.0,841.0,886.0,866.0
Carmen Cabezuelo,SIMANCAS,SAN BLAS-CANILLEJAS,40.4301126077,-3.62883450607,127.0,138.0,157.0,154.0,149.0,5.0,8.0,8.0,8.0,12.0,12.0,3.0,9.0,0.0,1.0,1476.0,1561.0,1642.0,1692.0,1728.0,1751.0
República de Chile,SIMANCAS,SAN BLAS-CANILLEJAS,40.4280985248,-3.62478391987,219.0,193.0,193.0,186.0,175.0,5.0,5.0,2.0,4.0,7.0,8.0,2.0,2.0,1.0,3.0,1476.0,1561.0,1642.0,1692.0,1728.0,1751.0
Cervantes,RIOS ROSAS,CHAMBERI,40.4466126402,-3.70311394849,129.0,141.0,143.0,152.0,146.0,6.0,6.0,9.0,9.0,9.0,9.0,6.0,6.0,7.0,7.0,1040.0,1068.0,1127.0,1112.0,1154.0,1139.0
Ciudad Pegaso,REJAS,SAN BLAS-CANILLEJAS,40.447240094,-3.59802748849,300.0,291.0,295.0,298.0,296.0,0.0,10.0,4.0,6.0,1.0,9.0,1.0,4.0,1.0,5.0,869.0,978.0,1113.0,1225.0,1303.0,1371.0
Ciudad de Guadalajara,ALAMEDA DE OSUNA,BARAJAS,40.4589474631,-3.58479185547,320.0,329.0,337.0,362.0,345.0,3.0,15.0,6.0,15.0,5.0,13.0,5.0,30.0,0.0,13.0,1296.0,1321.0,1332.0,1333.0,1374.0,1326.0
Ciudad de Zaragoza,ALAMEDA DE OSUNA,BARAJAS,40.4603021513,-3.59121986967,640.0,644.0,657.0,646.0,638.0,13.0,26.0,11.0,13.0,13.0,25.0,8.0,20.0,6.0,27.0,1296.0,1321.0,1332.0,1333.0,1374.0,1326.0
Ciudad de Jaén,ORCASUR,USERA,40.3725784823,-3.70126017556,441.0,430.0,427.0,431.0,416.0,6.0,13.0,12.0,15.0,11.0,17.0,5.0,14.0,3.0,14.0,915.0,903.0,886.0,896.0,857.0,831.0
Ciudad de Roma,ESTRELLA,RETIRO,40.4158639493,-3.66520562619,354.0,328.0,361.0,358.0,359.0,7.0,11.0,4.0,6.0,0.0,5.0,3.0,11.0,0.0,12.0,1123.0,1109.0,1154.0,1170.0,1172.0,1158.0
Conde de Romanones,QUINTANA,CIUDAD LINEAL,40.4374798611,-3.64233263817,183.0,180.0,174.0,167.0,179.0,7.0,7.0,14.0,14.0,8.0,8.0,2.0,4.0,1.0,3.0,985.0,1021.0,1050.0,1053.0,1042.0,1057.0
Cristóbal Colón,SAN ANDRES,VILLAVERDE,40.3503508,-3.70605797468,354.0,379.0,408.0,422.0,461.0,2.0,9.0,0.0,7.0,1.0,7.0,0.0,12.0,0.0,13.0,2596.0,2637.0,2716.0,2764.0,2800.0,2837.0
Dámaso Alonso,SAN ANDRES,VILLAVERDE,40.3460447139,-3.70895673021,158.0,160.0,154.0,153.0,152.0,6.0,8.0,4.0,5.0,3.0,10.0,3.0,12.0,2.0,5.0,2596.0,2637.0,2716.0,2764.0,2800.0,2837.0
Manuel de Falla,SAN ANDRES,VILLAVERDE,40.3462549882,-3.70550895275,163.0,160.0,150.0,149.0,157.0,2.0,6.0,2.0,6.0,6.0,12.0,4.0,10.0,2.0,5.0,2596.0,2637.0,2716.0,2764.0,2800.0,2837.0
Nuestra Señora de la Luz,SAN ANDRES,VILLAVERDE,40.3436597271,-3.70561142986,139.0,126.0,137.0,136.0,149.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,2.0,1.0,3.0,2596.0,2637.0,2716.0,2764.0,2800.0,2837.0
San Carlos,SAN ANDRES,VILLAVERDE,40.344022214,-3.71114912043,270.0,272.0,273.0,272.0,289.0,4.0,6.0,11.0,11.0,9.0,13.0,2.0,4.0,2.0,6.0,2596.0,2637.0,2716.0,2764.0,2800.0,2837.0
San Roque,SAN ANDRES,VILLAVERDE,40.3468636797,-3.70319566344,164.0,173.0,159.0,146.0,143.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,1.0,2.0,2596.0,2637.0,2716.0,2764.0,2800.0,2837.0
Daniel Vázquez Díaz,VALDEZARZA,MONCLOA-ARAVACA,40.4647771119,-3.71302269425,138.0,149.0,152.0,154.0,154.0,2.0,2.0,2.0,2.0,3.0,21.0,1.0,20.0,0.0,14.0,1360.0,1378.0,1409.0,1404.0,1372.0,1357.0
Escuelas Bosque,VALDEZARZA,MONCLOA-ARAVACA,40.4589873398,-3.71253688173,287.0,295.0,302.0,300.0,293.0,6.0,13.0,8.0,16.0,11.0,15.0,4.0,13.0,2.0,17.0,1360.0,1378.0,1409.0,1404.0,1372.0,1357.0
Eugenio María de Hostos,VALDEZARZA,MONCLOA-ARAVACA,40.4691620845,-3.71777571781,228.0,243.0,287.0,321.0,319.0,9.0,11.0,6.0,12.0,9.0,11.0,4.0,8.0,7.0,8.0,1360.0,1378.0,1409.0,1404.0,1372.0,1357.0
Lepanto,VALDEZARZA,MONCLOA-ARAVACA,40.4684390227,-3.72104730287,289.0,292.0,294.0,296.0,290.0,2.0,6.0,0.0,3.0,2.0,3.0,0.0,4.0,0.0,6.0,1360.0,1378.0,1409.0,1404.0,1372.0,1357.0
Dionisio Ridruejo,PINAR DEL REY,HORTALEZA,40.4730183544,-3.63454315614,143.0,125.0,128.0,125.0,125.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0,2490.0,2535.0,2584.0,2539.0,2557.0,2514.0
Filósofo Séneca,PINAR DEL REY,HORTALEZA,40.478381552,-3.6502374704,109.0,107.0,111.0,120.0,132.0,1.0,1.0,4.0,4.0,3.0,3.0,6.0,6.0,1.0,1.0,2490.0,2535.0,2584.0,2539.0,2557.0,2514.0
Hortaleza,PINAR DEL REY,HORTALEZA,40.4724406572,-3.647738241,,,,,,,,,,,,,,,,2490.0,2535.0,2584.0,2539.0,2557.0,2514.0
Pablo Picasso,PINAR DEL REY,HORTALEZA,40.4707862667,-3.64715611626,315.0,343.0,365.0,372.0,366.0,7.0,11.0,3.0,15.0,8.0,13.0,0.0,7.0,2.0,12.0,2490.0,2535.0,2584.0,2539.0,2557.0,2514.0
Pinar del Rey,PINAR DEL REY,HORTALEZA,40.4716202449,-3.65424206261,255.0,280.0,269.0,292.0,291.0,6.0,6.0,12.0,12.0,8.0,8.0,8.0,9.0,10.0,11.0,2490.0,2535.0,2584.0,2539.0,2557.0,2514.0
San Miguel,PINAR DEL REY,HORTALEZA,40.4744063898,-3.65222821453,113.0,128.0,116.0,125.0,131.0,5.0,5.0,11.0,11.0,5.0,7.0,5.0,5.0,4.0,5.0,2490.0,2535.0,2584.0,2539.0,2557.0,2514.0
Doctor Conde Arruga,VINATEROS,MORATALAZ,40.4038241047,-3.64357997378,218.0,215.0,238.0,265.0,292.0,4.0,15.0,4.0,12.0,6.0,10.0,3.0,8.0,1.0,2.0,703.0,712.0,753.0,735.0,763.0,782.0
Pío Baroja,VINATEROS,MORATALAZ,40.4035400189,-3.63794419299,241.0,240.0,252.0,261.0,262.0,6.0,6.0,14.0,14.0,8.0,10.0,2.0,4.0,8.0,10.0,703.0,712.0,753.0,735.0,763.0,782.0
Doctor Federico Rubio,BELLAS VISTAS,TETUAN,40.4524271206,-3.71134722929,111.0,122.0,119.0,116.0,132.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,1244.0,1307.0,1337.0,1383.0,1364.0,1294.0
Ignacio Zuloaga,BELLAS VISTAS,TETUAN,40.4562549638,-3.71150553745,246.0,251.0,242.0,244.0,265.0,13.0,13.0,11.0,11.0,3.0,3.0,1.0,3.0,12.0,15.0,1244.0,1307.0,1337.0,1383.0,1364.0,1294.0
Doctor Severo Ochoa,AMBROZ,VICALVARO,40.4103110308,-3.61368210619,346.0,323.0,315.0,310.0,289.0,8.0,10.0,6.0,9.0,10.0,11.0,4.0,8.0,1.0,2.0,897.0,919.0,969.0,1002.0,1054.0,1070.0
Vicálvaro,AMBROZ,VICALVARO,40.4050257574,-3.60109491852,303.0,288.0,291.0,284.0,278.0,6.0,8.0,3.0,5.0,2.0,4.0,1.0,2.0,5.0,7.0,897.0,919.0,969.0,1002.0,1054.0,1070.0
EEUU - Huarte de San Juan,CASA DE CAMPO,MONCLOA-ARAVACA,40.4287017947,-3.73370855742,76.0,89.0,84.0,82.0,97.0,2.0,2.0,20.0,20.0,5.0,5.0,1.0,1.0,2.0,2.0,578.0,555.0,522.0,494.0,464.0,437.0
Fernández de Moratín,CASA DE CAMPO,MONCLOA-ARAVACA,40.4267332186,-3.72730948445,262.0,242.0,232.0,232.0,227.0,7.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,578.0,555.0,522.0,494.0,464.0,437.0
El Madroño,NUMANCIA,PUENTE DE VALLECAS,40.4022043001,-3.65448872295,112.0,123.0,120.0,116.0,117.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,2298.0,2301.0,2341.0,2375.0,2372.0,2366.0
Fray Junípero Serra,NUMANCIA,PUENTE DE VALLECAS,40.3953095453,-3.65815724393,332.0,307.0,315.0,310.0,308.0,5.0,9.0,8.0,16.0,10.0,27.0,10.0,18.0,13.0,18.0,2298.0,2301.0,2341.0,2375.0,2372.0,2366.0
El Sol,ARCOS,SAN BLAS-CANILLEJAS,40.4239973823,-3.61168458648,580.0,573.0,531.0,514.0,493.0,8.0,13.0,13.0,18.0,7.0,7.0,17.0,21.0,12.0,15.0,1809.0,1802.0,1775.0,1643.0,1563.0,1528.0
María Moliner,ARCOS,SAN BLAS-CANILLEJAS,40.4221740208,-3.6191180462,430.0,421.0,423.0,406.0,386.0,14.0,15.0,8.0,11.0,6.0,6.0,12.0,13.0,5.0,5.0,1809.0,1802.0,1775.0,1643.0,1563.0,1528.0
República de Panamá nº 1,ARCOS,SAN BLAS-CANILLEJAS,40.4262269,-3.6172453,123.0,134.0,131.0,121.0,136.0,2.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,3.0,6.0,1809.0,1802.0,1775.0,1643.0,1563.0,1528.0
Ermita del Santo,PUERTA DEL ANGEL,LATINA,40.4109198479,-3.72340306876,290.0,283.0,278.0,287.0,287.0,3.0,3.0,8.0,10.0,12.0,15.0,4.0,9.0,7.0,19.0,1827.0,1819.0,1863.0,1854.0,1910.0,1838.0
Francisco de Goya,PUERTA DEL ANGEL,LATINA,40.4111896128,-3.72779034086,115.0,103.0,120.0,122.0,129.0,6.0,6.0,3.0,3.0,11.0,11.0,2.0,2.0,2.0,4.0,1827.0,1819.0,1863.0,1854.0,1910.0,1838.0
Joaquín Dicenta,PUERTA DEL ANGEL,LATINA,40.4056359339,-3.738384162,115.0,111.0,117.0,113.0,123.0,,,3.0,3.0,3.0,3.0,1.0,1.0,,,1827.0,1819.0,1863.0,1854.0,1910.0,1838.0
Escuelas Aguirre,NIÑO JESUS,RETIRO,40.4145497025,-3.67435086048,308.0,307.0,305.0,303.0,298.0,4.0,9.0,7.0,14.0,6.0,22.0,4.0,15.0,3.0,14.0,813.0,800.0,815.0,840.0,817.0,857.0
Esperanza,CANILLAS,HORTALEZA,40.4614426338,-3.64578080791,249.0,261.0,268.0,273.0,280.0,7.0,7.0,9.0,9.0,8.0,10.0,4.0,7.0,10.0,17.0,1918.0,1899.0,1918.0,1902.0,1881.0,1865.0
Garcilaso de la Vega,CANILLAS,HORTALEZA,40.4669937289,-3.63410898756,266.0,267.0,258.0,287.0,285.0,11.0,11.0,2.0,2.0,4.0,6.0,9.0,10.0,9.0,11.0,1918.0,1899.0,1918.0,1902.0,1881.0,1865.0
Luis Cernuda,CANILLAS,HORTALEZA,40.4613154044,-3.65398874536,159.0,161.0,152.0,131.0,133.0,5.0,8.0,6.0,6.0,9.0,10.0,1.0,2.0,2.0,2.0,1918.0,1899.0,1918.0,1902.0,1881.0,1865.0
Ramón Pérez de Ayala,CANILLAS,HORTALEZA,40.4663499004,-3.63323005426,177.0,161.0,157.0,163.0,186.0,7.0,7.0,2.0,4.0,1.0,6.0,1.0,7.0,1.0,1.0,1918.0,1899.0,1918.0,1902.0,1881.0,1865.0
Felipe II,ALMENARA,TETUAN,40.4729057017,-3.69934183889,128.0,115.0,112.0,114.0,126.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,,,1040.0,1024.0,981.0,975.0,992.0,1014.0
Pío XII,ALMENARA,TETUAN,40.466938595,-3.69388929191,230.0,225.0,231.0,226.0,246.0,27.0,36.0,25.0,28.0,13.0,18.0,16.0,20.0,20.0,23.0,1040.0,1024.0,981.0,975.0,992.0,1014.0
Fernando el Católico,ARAPILES,CHAMBERI,40.4341036895,-3.70973929433,127.0,137.0,163.0,183.0,207.0,3.0,3.0,5.0,6.0,8.0,8.0,6.0,6.0,7.0,8.0,941.0,929.0,939.0,920.0,921.0,924.0
San Cristóbal,ARAPILES,CHAMBERI,40.4374332991,-3.70445676126,200.0,218.0,247.0,254.0,244.0,3.0,3.0,4.0,4.0,8.0,9.0,13.0,15.0,4.0,5.0,941.0,929.0,939.0,920.0,921.0,924.0
Fontarrón,PAVONES,MORATALAZ,40.3951135128,-3.63357557022,272.0,265.0,279.0,264.0,259.0,9.0,12.0,5.0,6.0,6.0,8.0,6.0,6.0,3.0,3.0,532.0,544.0,531.0,475.0,478.0,447.0
Martínez Montañés,PAVONES,MORATALAZ,40.4019135421,-3.63391036022,179.0,173.0,164.0,154.0,141.0,1.0,2.0,7.0,7.0,4.0,9.0,3.0,5.0,4.0,5.0,532.0,544.0,531.0,475.0,478.0,447.0
Francisco Ruano,ENTREVIAS,PUENTE DE VALLECAS,40.3800856374,-3.6735476485,137.0,144.0,143.0,138.0,127.0,8.0,11.0,3.0,6.0,5.0,10.0,0.0,4.0,3.0,3.0,1920.0,1874.0,1888.0,1907.0,1867.0,1882.0
García Morente,ENTREVIAS,PUENTE DE VALLECAS,40.3733664858,-3.66548252495,87.0,92.0,88.0,78.0,71.0,4.0,4.0,10.0,10.0,6.0,6.0,,,,,1920.0,1874.0,1888.0,1907.0,1867.0,1882.0
Giner de los Ríos,ENTREVIAS,PUENTE DE VALLECAS,40.3795294712,-3.66847650353,264.0,272.0,264.0,256.0,234.0,8.0,9.0,5.0,7.0,7.0,10.0,4.0,5.0,4.0,5.0,1920.0,1874.0,1888.0,1907.0,1867.0,1882.0
José María de Pereda,ENTREVIAS,PUENTE DE VALLECAS,40.3818346187,-3.67488452639,148.0,134.0,120.0,121.0,119.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,4.0,8.0,1920.0,1874.0,1888.0,1907.0,1867.0,1882.0
Manuel Núñez de Arenas,ENTREVIAS,PUENTE DE VALLECAS,40.3752528307,-3.66174334696,110.0,88.0,73.0,85.0,106.0,,,2.0,2.0,1.0,1.0,1.0,1.0,15.0,15.0,1920.0,1874.0,1888.0,1907.0,1867.0,1882.0
Padre Mariana,ENTREVIAS,PUENTE DE VALLECAS,40.377035594,-3.67130262626,128.0,138.0,141.0,147.0,141.0,2.0,4.0,11.0,13.0,3.0,10.0,3.0,4.0,0.0,7.0,1920.0,1874.0,1888.0,1907.0,1867.0,1882.0
Francisco de Luis,MEDIA LEGUA,MORATALAZ,40.4088380164,-3.66029256578,74.0,88.0,97.0,97.0,100.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,771.0,781.0,774.0,803.0,755.0,739.0
Regimiento Inmemorial del Rey,MEDIA LEGUA,MORATALAZ,40.4073860721,-3.65739096778,265.0,225.0,205.0,182.0,182.0,5.0,7.0,4.0,5.0,5.0,7.0,1.0,3.0,10.0,10.0,771.0,781.0,774.0,803.0,755.0,739.0
Francisco de Quevedo,PACIFICO,RETIRO,40.4047276921,-3.67933210662,95.0,85.0,90.0,97.0,106.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,0.0,1.0,1403.0,1410.0,1378.0,1329.0,1328.0,1291.0
San Isidoro,PACIFICO,RETIRO,40.4065086717,-3.6813417079,137.0,132.0,135.0,151.0,152.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,1403.0,1410.0,1378.0,1329.0,1328.0,1291.0
Gandhi,PUEBLO NUEVO,CIUDAD LINEAL,40.4237462616,-3.63650827804,169.0,164.0,154.0,143.0,151.0,,,3.0,3.0,0.0,5.0,2.0,4.0,1.0,2.0,2936.0,2871.0,2928.0,2875.0,2881.0,2935.0
Miguel Blasco Vilatela,PUEBLO NUEVO,CIUDAD LINEAL,40.4293465714,-3.63218728824,299.0,293.0,321.0,318.0,336.0,7.0,17.0,15.0,19.0,9.0,13.0,3.0,15.0,6.0,16.0,2936.0,2871.0,2928.0,2875.0,2881.0,2935.0
Gloria Fuertes,ORCASITAS,USERA,40.3693116288,-3.70513683701,200.0,193.0,190.0,184.0,190.0,,,,,9.0,11.0,1.0,4.0,1.0,10.0,1503.0,1580.0,1675.0,1750.0,1738.0,1757.0
Meseta de Orcasitas,ORCASITAS,USERA,40.371945354,-3.71052379889,434.0,443.0,453.0,432.0,453.0,2.0,11.0,6.0,15.0,9.0,11.0,2.0,11.0,0.0,7.0,1503.0,1580.0,1675.0,1750.0,1738.0,1757.0
Puerto Rico,ORCASITAS,USERA,40.3679444994,-3.71939806383,288.0,309.0,306.0,313.0,317.0,0.0,12.0,0.0,14.0,2.0,16.0,1.0,15.0,0.0,13.0,1503.0,1580.0,1675.0,1750.0,1738.0,1757.0
Gonzalo Fernández de Córdoba,CAMPAMENTO,LATINA,40.394142137,-3.77929874527,247.0,270.0,285.0,300.0,294.0,5.0,5.0,7.0,7.0,1.0,6.0,0.0,12.0,2.0,14.0,833.0,860.0,905.0,936.0,923.0,922.0
Hermanos Pinzón,CAMPAMENTO,LATINA,40.3985817859,-3.76880347321,220.0,219.0,231.0,250.0,248.0,5.0,5.0,2.0,2.0,6.0,6.0,4.0,4.0,3.0,3.0,833.0,860.0,905.0,936.0,923.0,922.0
La Dehesa del Príncipe,CAMPAMENTO,LATINA,40.379772095,-3.79395296851,244.0,241.0,272.0,271.0,264.0,5.0,5.0,4.0,6.0,6.0,9.0,4.0,5.0,2.0,2.0,833.0,860.0,905.0,936.0,923.0,922.0
Guindalera,GUINDALERA,SALAMANCA,40.4372859977,-3.66702022908,174.0,180.0,218.0,214.0,235.0,13.0,13.0,10.0,10.0,14.0,14.0,12.0,12.0,11.0,14.0,1697.0,1715.0,1745.0,1722.0,1696.0,1744.0
Gustavo Adolfo Bécquer,VENTAS,CIUDAD LINEAL,40.4240189223,-3.64904175678,294.0,293.0,283.0,284.0,278.0,5.0,9.0,6.0,10.0,7.0,11.0,4.0,4.0,2.0,2.0,2101.0,2139.0,2152.0,2168.0,2106.0,2077.0
Leopoldo Alas,VENTAS,CIUDAD LINEAL,40.4282464576,-3.65343253071,237.0,233.0,230.0,245.0,261.0,7.0,8.0,8.0,8.0,4.0,4.0,8.0,8.0,6.0,6.0,2101.0,2139.0,2152.0,2168.0,2106.0,2077.0
San Juan Bosco,VENTAS,CIUDAD LINEAL,40.4196837828,-3.6525599142,142.0,135.0,144.0,139.0,141.0,3.0,6.0,3.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,2101.0,2139.0,2152.0,2168.0,2106.0,2077.0
Haití,VISTA ALEGRE,CARABANCHEL,40.3860711818,-3.74634688688,434.0,394.0,396.0,419.0,415.0,10.0,17.0,8.0,8.0,15.0,15.0,8.0,10.0,4.0,9.0,2067.0,2055.0,2086.0,2157.0,2176.0,2148.0
Parque Eugenia de Montijo,VISTA ALEGRE,CARABANCHEL,40.3783744698,-3.75236411272,144.0,141.0,152.0,151.0,148.0,0.0,1.0,1.0,2.0,3.0,9.0,1.0,5.0,2.0,3.0,2067.0,2055.0,2086.0,2157.0,2176.0,2148.0
Infanta Leonor,MIRASIERRA,FUENCARRAL-EL PARDO,40.4996695214,-3.7114329556,399.0,431.0,461.0,481.0,471.0,7.0,15.0,3.0,12.0,2.0,11.0,0.0,27.0,0.0,5.0,2470.0,2373.0,2354.0,2339.0,2482.0,2593.0
Mirasierra,MIRASIERRA,FUENCARRAL-EL PARDO,40.4911390355,-3.7141984472,415.0,410.0,410.0,429.0,430.0,9.0,9.0,19.0,21.0,13.0,13.0,17.0,22.0,14.0,33.0,2470.0,2373.0,2354.0,2339.0,2482.0,2593.0
Isabel la Católica,JUSTICIA,CENTRO,40.4266422154,-3.69972299491,230.0,248.0,261.0,268.0,287.0,14.0,14.0,21.0,21.0,17.0,17.0,8.0,15.0,3.0,13.0,527.0,530.0,574.0,554.0,521.0,502.0
Jaime Balmes,SAN DIEGO,PUENTE DE VALLECAS,40.3879037094,-3.67076251537,281.0,275.0,270.0,279.0,290.0,5.0,12.0,13.0,15.0,10.0,20.0,9.0,20.0,2.0,19.0,1993.0,2088.0,2195.0,2227.0,2276.0,2251.0
Jaime Vera,CUATRO CAMINOS,TETUAN,40.4524784135,-3.70296280762,310.0,308.0,286.0,275.0,281.0,4.0,4.0,7.0,7.0,3.0,4.0,4.0,7.0,3.0,6.0,1312.0,1304.0,1306.0,1287.0,1279.0,1322.0
Joaquín Costa,IMPERIAL,ARGANZUELA,40.4055513538,-3.71456576736,931.0,952.0,966.0,946.0,940.0,27.0,27.0,45.0,54.0,2.0,48.0,0.0,31.0,0.0,12.0,1130.0,1102.0,1084.0,1080.0,1065.0,1059.0
Marqués de Marcenado,IMPERIAL,ARGANZUELA,40.4103704921,-3.72048608485,103.0,99.0,103.0,122.0,129.0,6.0,6.0,4.0,4.0,9.0,9.0,4.0,4.0,4.0,4.0,1130.0,1102.0,1084.0,1080.0,1065.0,1059.0
Tomás Bretón,IMPERIAL,ARGANZUELA,40.4010658346,-3.71586173703,308.0,310.0,311.0,307.0,310.0,2.0,9.0,6.0,15.0,1.0,11.0,0.0,8.0,2.0,19.0,1130.0,1102.0,1084.0,1080.0,1065.0,1059.0
Joaquín Turina,COSTILLARES,CIUDAD LINEAL,40.4806412425,-3.66632834447,113.0,103.0,96.0,82.0,94.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,3.0,1637.0,1631.0,1570.0,1497.0,1442.0,1373.0
Jorge Manrique,MOSCARDO,USERA,40.3881085852,-3.71037551829,310.0,289.0,290.0,299.0,309.0,6.0,11.0,3.0,10.0,1.0,8.0,3.0,9.0,1.0,10.0,1176.0,1178.0,1256.0,1297.0,1299.0,1250.0
