,Colegio,Distrito,Latitud,Longitud,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2012-2013 Admitidas,2012-2013 Presentadas,2013-2014 Admitidas,2013-2014 Presentadas,2014-2015 Admitidas,2014-2015 Presentadas,2015-2016 Admitidas,2015-2016 Presentadas,2016-2017 Admitidas,2016-2017 Presentadas
42,Ciudad de Roma,RETIRO,40.4158639493,-3.66520562619,354.0,328.0,361.0,358.0,359.0,7.0,11.0,4.0,6.0,0.0,5.0,3.0,11.0,0.0,12.0
43,Ciudad de Valencia,VILLA DE VALLECAS,40.3852605362,-3.60440650397,630.0,644.0,657.0,624.0,632.0,8.0,21.0,3.0,10.0,12.0,17.0,7.0,9.0,6.0,12.0
44,Ciudad de Zaragoza,BARAJAS,40.4603021513,-3.59121986967,640.0,644.0,657.0,646.0,638.0,13.0,26.0,11.0,13.0,13.0,25.0,8.0,20.0,6.0,27.0
45,Ciudad de los Ángeles,VILLAVERDE,40.3556455956,-3.69607978656,616.0,621.0,601.0,599.0,596.0,12.0,23.0,7.0,23.0,10.0,23.0,10.0,25.0,2.0,15.0
46,Claudio Moyano,CHAMBERI,40.4389650923,-3.70883535886,131.0,129.0,146.0,140.0,146.0,7.0,7.0,5.0,6.0,7.0,7.0,0.0,1.0,1.0,1.0
47,Complejo Escolar Príncipe Felipe,FUENCARRAL-EL PARDO,40.4802198707,-3.7010104733,188.0,201.0,206.0,204.0,198.0,8.0,12.0,3.0,14.0,18.0,50.0,8.0,48.0,24.0,42.0
48,Concha Espina,PUENTE DE VALLECAS,40.3857768278,-3.64395011918,179.0,169.0,153.0,143.0,153.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0
49,Conde de Romanones,CIUDAD LINEAL,40.4374798611,-3.64233263817,183.0,180.0,174.0,167.0,179.0,7.0,7.0,14.0,14.0,8.0,8.0,2.0,4.0,1.0,3.0
50,Cortes de Cádiz,HORTALEZA,40.4989343286,-3.65601790796,0.0,0.0,101.0,205.0,310.0,,,,,5.0,5.0,3.0,16.0,2.0,33.0
51,Costa Rica,LATINA,40.3855040335,-3.75598966441,211.0,193.0,190.0,186.0,193.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0
52,Cristóbal Colón,VILLAVERDE,40.3503508,-3.70605797468,354.0,379.0,408.0,422.0,461.0,2.0,9.0,0.0,7.0,1.0,7.0,0.0,12.0,0.0,13.0
53,Cuba,LATINA,40.3950901436,-3.76141107126,191.0,168.0,156.0,130.0,118.0,4.0,5.0,9.0,9.0,2.0,3.0,0.0,1.0,2.0,2.0
54,Daniel Vázquez Díaz,MONCLOA-ARAVACA,40.4647771119,-3.71302269425,138.0,149.0,152.0,154.0,154.0,2.0,2.0,2.0,2.0,3.0,21.0,1.0,20.0,0.0,14.0
55,Dionisio Ridruejo,HORTALEZA,40.4730183544,-3.63454315614,143.0,125.0,128.0,125.0,125.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0
56,Doctor Conde Arruga,MORATALAZ,40.4038241047,-3.64357997378,218.0,215.0,238.0,265.0,292.0,4.0,15.0,4.0,12.0,6.0,10.0,3.0,8.0,1.0,2.0
57,Doctor Federico Rubio,TETUAN,40.4524271206,-3.71134722929,111.0,122.0,119.0,116.0,132.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0
58,Doctor Severo Ochoa,VICALVARO,40.4103110308,-3.61368210619,346.0,323.0,315.0,310.0,289.0,8.0,10.0,6.0,9.0,10.0,11.0,4.0,8.0,1.0,2.0
59,Doctor Tolosa Latour,PUENTE DE VALLECAS,40.3820038126,-3.64200568094,298.0,289.0,315.0,321.0,315.0,5.0,13.0,6.0,9.0,6.0,8.0,1.0,6.0,1.0,6.0
60,Dámaso Alonso,VILLAVERDE,40.3460447139,-3.70895673021,158.0,160.0,154.0,153.0,152.0,6.0,8.0,4.0,5.0,3.0,10.0,3.0,12.0,2.0,5.0
61,EEUU - Huarte de San Juan,MONCLOA-ARAVACA,40.4287017947,-3.73370855742,76.0,89.0,84.0,82.0,97.0,2.0,2.0,20.0,20.0,5.0,5.0,1.0,1.0,2.0,2.0
62,Eduardo Rojo,PUENTE DE VALLECAS,40.3874270668,-3.66280503333,248.0,233.0,230.0,240.0,266.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,17.0,20.0
63,El Espinillo,VILLAVERDE,40.3615724122,-3.69327885016,462.0,470.0,490.0,489.0,492.0,1.0,14.0,0.0,11.0,1.0,15.0,1.0,17.0,0.0,17.0
64,El Greco,VILLAVERDE,40.3454822012,-3.67498127964,494.0,580.0,634.0,661.0,641.0,6.0,18.0,6.0,26.0,8.0,22.0,3.0,13.0,0.0,19.0
65,El Madroño,PUENTE DE VALLECAS,40.4022043001,-3.65448872295,112.0,123.0,120.0,116.0,117.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0
66,El Quijote,VILLA DE VALLECAS,40.3749051125,-3.62380936129,332.0,329.0,327.0,334.0,326.0,0.0,44.0,0.0,29.0,7.0,29.0,0.0,33.0,0.0,31.0
67,El Sol,SAN BLAS-CANILLEJAS,40.4239973823,-3.61168458648,580.0,573.0,531.0,514.0,493.0,8.0,13.0,13.0,18.0,7.0,7.0,17.0,21.0,12.0,15.0
68,Emilia Pardo Bazán,CENTRO,40.4067780349,-3.70552769637,97.0,97.0,106.0,110.0,129.0,4.0,4.0,5.0,5.0,2.0,6.0,1.0,4.0,5.0,9.0
