CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28039888;IES;GABRIEL GARCIA MARQUEZ;Calle Del Nevado Del Ruiz, 1 ;Madrid;Hortaleza;28033;913812820;913816423;-;Público;Activid. .Extraesc.;
Madrid-Capital;28021550;IES;GARCIA MORATO;Calle Del General Saliquet, 34 ;Madrid;Latina;28044;917050818;917066145;-;Público;Transporte;
Madrid-Capital;28020582;IES;GÓMEZ MORENO;Avenida De Hellín, 5 ;Madrid;San Blas-Canillejas;28037;913209142;913203095;Auditivos;Público;Activid. .Extraesc.;
Madrid-Capital;28021562;IES;GRAN CAPITÁN;Paseo De Los Melancólicos, 51 ;Madrid;Arganzuela;28005;913659190;913661507;-;Público;-;
Madrid-Capital;28020119;IES;GREGORIO MARAÑON;Avenida De El Ferrol, 43 ;Madrid;Fuencarral-El Pardo;28029;917310421;917380949;Transt. Desarrollo;Público;Activid. .Extraesc.;
Madrid-Capital;28077889;IES;IES NUEVO LAS TABLAS;Avenida Camino Santiago.pau Las Tablas ;Madrid;Fuencarral-El Pardo;28050;-;-;-;Público;-;
Madrid-Capital;28038823;IES;ISAAC NEWTON;Calle De Joaquín Lorenzo, 2 ;Madrid;Fuencarral-El Pardo;28035;913732052;913732177;Motóricos;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28020909;IES;ISABEL LA CATOLICA;Calle De Alfonso Xii, 3 ;Madrid;Retiro;28014;915277878;915302294;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28040741;IES;ITURRALDE;Calle De Nuestra Señora De La Luz, 53 ;Madrid;Latina;28047;914626822;914627744;Transt. Desarrollo;Público;Activid. .Extraesc.;
Madrid-Capital;28028477;IES;JAIME VERA;Calle De La Infanta Mercedes, 47 ;Madrid;Tetuán;28020;915700250;915715023;-;Público;Activid. .Extraesc.;
Madrid-Capital;28037041;IES;JOAQUÍN RODRIGO;Calle De Casalarreina, 28 ;Madrid;Vicálvaro;28032;917762262;917762393;-;Público;Activid. .Extraesc.;
Madrid-Capital;28018903;IES;JOAQUÍN TURINA;Calle De Guzmán El Bueno, 92 ;Madrid;Chamberí;28003;915539625;915336253;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020910;IES;JUAN DE LA CIERVA;Calle De La Caoba, 1 ;Madrid;Arganzuela;28005;915064610;914670167;-;Público;Activid. .Extraesc.;
Madrid-Capital;28035330;IES;JUAN DE VILLANUEVA;Calle Del Camino Viejo De Villaverde, 28 ;Madrid;Usera;28041;913416343;913417819;-;Público;Activid. .Extraesc.;
Madrid-Capital;28076371;IES;JUAN RAMÓN JIMÉNEZ;Calle De La Estefanita, S/n ;Madrid;Villaverde;28021;912761508;915157320;-;Público;-;
Madrid-Capital;28041433;IES;JUANA DE CASTILLA;Calle De Valdebernardo, 3 ;Madrid;Moratalaz;28030;917726666;913710669;Motóricos;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28028453;IES;LA ESTRELLA;Calle De La Estrella Polar, 10 ;Madrid;Retiro;28007;914095211;914097680;Auditivos;Público;Activid. .Extraesc.;
Madrid-Capital;28030976;IES;LAS MUSAS;Calle De Carlos Ii, S/n ;Madrid;San Blas-Canillejas;28022;913065946;913240028;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28019889;IES;LOPE DE VEGA;Calle De San Bernardo, 70 ;Madrid;Centro;28015;915321362;915320248;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28045840;IES;MADRID-SUR;Avenida Del Parque De Palomeras Bajas, S/n ;Madrid;Puente de Vallecas;28018;917850181;917860146;-;Público;Activid. .Extraesc.;
Madrid-Capital;28073859;IES;MANUEL FRAGA IRIBARNE;Avenida De Niceto Alcalá Zamora, 54 ;Madrid;Hortaleza;28050;912761503;912749994;-;Público;-;
Madrid-Capital;28038801;IES;MARIA DE MOLINA;Calle De Mirabel, 22 ;Madrid;Latina;28044;917054289;917054611;-;Público;Activid. .Extraesc.;
Madrid-Capital;28077269;IES;MARIA RODRIGO;Talamanca Del Jarama Esq. Granja De San Ildef ;Madrid;Villa de Vallecas;28051;912761532;917031802;-;Público;-;
Madrid-Capital;28030952;IES;MARIANA PINEDA;Calle Del Alcalde Garrido Juaristi, 6 ;Madrid;Moratalaz;28030;914302111;914376702;-;Público;Activid. .Extraesc.;
Madrid-Capital;28028431;IES;MARIANO JOSE DE LARRA;Calle De Camarena, 181 ;Madrid;Latina;28047;917192105;917192304;Auditivos;Público;Activid. .Extraesc.;
Madrid-Capital;28039840;IES;MARQUES DE SUANZES;Avenida Del Veinticinco De Septiembre, 3 ;Madrid;San Blas-Canillejas;28027;917414653;913200619;-;Público;Activid. .Extraesc.;
Madrid-Capital;28030162;IES;MIGUEL DELIBES;Calle De Villaescusa, 17 ;Madrid;Ciudad Lineal;28017;917541070;913270979;-;Público;Activid. .Extraesc.;
Madrid-Capital;28038355;IES;MIRASIERRA;Calle De La Portera Del Cura, 4 ;Madrid;Fuencarral-El Pardo;28034;917346532;913720171;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28020806;IES;NTRA. SRA. DE LA ALMUDENA;Plaza De La Remonta, 17 ;Madrid;Tetuán;28039;915712857;915711386;-;Público;Activid. .Extraesc.;
Madrid-Capital;28058603;IES;NUMANCIA;Calle De Las Marismas, 14 ;Madrid;Puente de Vallecas;28038;915015001;915014989;Motóricos;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28018381;IES;ORTEGA Y GASSET;Calle Santa Fe, 4 ;Madrid;Moncloa-Aravaca;28008;915476635;915413941;-;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28021549;IES;PALOMERAS-VALLECAS;Calle De La Arboleda, S/n ;Madrid;Puente de Vallecas;28031;913314503;913325458;-;Público;-;
Madrid-Capital;28020727;IES;PARQUE ALUCHE;Calle De Maqueda, 86 ;Madrid;Latina;28024;917182610;917182498;Motóricos;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28074244;IES;PEDRO SALINAS;Calle Del General Marvá, 24-26 ;Madrid;Usera;28026;915699236;915699235;Transt. Desarrollo;Público;-;
Madrid-Capital;28039852;IES;PEREZ GALDOS;Calle De Fermín Caballero, 92 ;Madrid;Fuencarral-El Pardo;28035;913863098;913167216;Transt. Desarrollo;Público;Activid. .Extraesc.;
Madrid-Capital;28020715;IES;PIO BAROJA;Calle De Tolosa, 2 ;Madrid;Usera;28041;913412613;913417077;-;Público;Activid. .Extraesc.;
Madrid-Capital;28037053;IES;PRADOLONGO;Calle Del Albardín, 6 ;Madrid;Usera;28026;914699013;915650391;-;Público;Activid. .Extraesc.;
Madrid-Capital;28047411;IES;PRINCIPE FELIPE;Calle De Finisterre, 60 ;Madrid;Fuencarral-El Pardo;28029;913146312;913159895;-;Público;Activid. .Extraesc.;
Madrid-Capital;28028672;IES;RAMIRO DE MAEZTU;Calle De Serrano, 127 ;Madrid;Chamartín;28006;915617838;914110865;-;Público;-;
